team,run_id,macro_f1,submitted_at,author_type,model,notes



hadilaff,form-submission,0.66942255,2026-03-05 08:26:00 UTC,human,GraphSAGE (3-layer),Submitted via Secure Google Form
Tasneem Selim,form-submission,0.06308274,2026-03-06 15:18:23 UTC,human,,Submitted via Secure Google Form
